# voltage (V), current (A), dIdV (G0)
-1.010000000000000047e-03,-6.927147682456416242e-09,1.046231355462438756e-01
-1.007999999999999998e-03,-6.911621983411229870e-09,9.580199121261749606e-02
-1.005999999999999950e-03,-6.897456377826966635e-09,5.757311428343405563e-02
-1.004000000000000118e-03,-6.893778712587540890e-09,1.294333297030272611e-01
-1.002000000000000069e-03,-6.857341925373805414e-09,1.773550780255312986e-01
-1.000000000000000021e-03,-6.838812176061708809e-09,2.508038869317403413e-02
-9.979999999999999722e-04,-6.849568919286057624e-09,7.788074127782501632e-02
-9.959999999999999236e-04,-6.814675090967984259e-09,1.683572834211321256e-01
-9.940000000000000918e-04,-6.797391012278372203e-09,6.586209853569430228e-02
-9.920000000000000432e-04,-6.794262867731225799e-09,1.072955828670096312e-01
-9.899999999999999946e-04,-6.764137571551567389e-09,9.542553530845863941e-02
-9.879999999999999460e-04,-6.764688235696870539e-09,6.661002057982511049e-02
-9.859999999999998974e-04,-6.743493549570644189e-09,7.794427639759451965e-02
-9.840000000000000656e-04,-6.740531459565706994e-09,5.061645419496604154e-02
-9.820000000000000170e-04,-6.727806312366669670e-09,1.591531788411105208e-01
-9.799999999999999684e-04,-6.691206122420791398e-09,1.166621230131378584e-01
-9.780000000000001366e-04,-6.691649959150441230e-09,4.811199897293264721e-02
-9.759999999999999796e-04,-6.676295075168475881e-09,1.425233582485391781e-01
-9.740000000000000394e-04,-6.647478597021049077e-09,1.082582615048477276e-01
-9.719999999999999907e-04,-6.642743277546013087e-09,6.897746159522155640e-02
-9.699999999999999421e-04,-6.626100849034115222e-09,1.507890932604703527e-01
-9.680000000000000019e-04,-6.596010168493418299e-09,7.585409630176742635e-02
-9.660000000000000617e-04,-6.602591869187456247e-09,4.781173409742985048e-02
-9.640000000000000131e-04,-6.581192180433039690e-09,1.603943590764355664e-01
-9.619999999999999645e-04,-6.552881860909919594e-09,9.710560511140635398e-02
-9.600000000000000243e-04,-6.551096855000908659e-09,4.897933274258632619e-02
-9.580000000000000841e-04,-6.537702006393329094e-09,8.228868651534587686e-02
-9.560000000000000355e-04,-6.525593643345716950e-09,8.654279310923392032e-02
-9.539999999999999869e-04,-6.510880346413560207e-09,7.799114413033467197e-02
-9.519999999999999383e-04,-6.501422341794856771e-09,8.161480416528939241e-02
-9.499999999999999981e-04,-6.485585986848879300e-09,2.121786104444713383e-01
-9.480000000000000579e-04,-6.435663168328638085e-09,1.535243772568762877e-01
-9.460000000000000093e-04,-6.438005148543928326e-09,-3.278870658471054467e-02
-9.439999999999999607e-04,-6.445825164580382577e-09,8.380634404427371453e-02
-9.420000000000000205e-04,-6.412031578898843356e-09,1.828475141365751289e-01
-9.400000000000000803e-04,-6.389156392102391751e-09,1.039245594704787945e-01
-9.380000000000000317e-04,-6.379822898111916921e-09,1.595384753397612043e-02
-9.359999999999999831e-04,-6.384211917137441911e-09,8.399842261685032396e-02
-9.339999999999999344e-04,-6.353789798770849496e-09,1.716403250259444513e-01
-9.319999999999999942e-04,-6.331016517829585326e-09,8.484935984220937089e-02
-9.300000000000000541e-04,-6.327492973842674805e-09,5.336064010886365505e-02
-9.280000000000000054e-04,-6.314478792458319654e-09,1.175712377771266082e-01
-9.259999999999999568e-04,-6.291054864443104545e-09,1.470454635917092800e-01
-9.240000000000000166e-04,-6.268905922848643806e-09,3.770667809566748130e-02
-9.220000000000000764e-04,-6.279368672415860460e-09,7.949505182891188071e-02
-9.200000000000000278e-04,-6.244268524705760619e-09,1.668782283712776371e-01
-9.179999999999999792e-04,-6.227649159576112202e-09,8.848167719178258450e-02
-9.159999999999999306e-04,-6.216845958657052306e-09,9.591016278605073164e-02
-9.139999999999999904e-04,-6.197924330015726866e-09,7.164258568394410442e-02
-9.120000000000000502e-04,-6.194642225633774938e-09,7.920576875233131808e-02
-9.100000000000000016e-04,-6.173376587545365050e-09,1.062923596565049089e-01
-9.080000000000000614e-04,-6.161699707525356106e-09,1.307023190275354296e-01
-9.060000000000000128e-04,-6.132868845264630652e-09,1.058874546020976276e-01
-9.039999999999999642e-04,-6.128882679077060804e-09,2.474183094805319436e-02
-9.020000000000000240e-04,-6.125200766235472309e-09,8.658563795740661928e-02
-8.999999999999999754e-04,-6.102047740464740983e-09,1.333029369455302759e-01
-8.980000000000000352e-04,-6.083887030907508921e-09,7.798291264975621903e-03
-8.959999999999999866e-04,-6.099630865422723605e-09,1.653329527762116280e-01
-8.940000000000000464e-04,-6.032646435550052141e-09,2.586304555984326181e-01
-8.919999999999999978e-04,-6.019475165667139207e-09,-3.522413433458207455e-02
-8.900000000000000576e-04,-6.043563228506007878e-09,4.359226809654082740e-02
-8.880000000000000089e-04,-6.005964889991650312e-09,1.898321676172368133e-01
-8.859999999999999603e-04,-5.984729746593476051e-09,8.577970694089750991e-02
-8.840000000000000201e-04,-5.979379728477056186e-09,4.881537250119921678e-02
-8.819999999999999715e-04,-5.969600707236492766e-09,1.569326960431803586e-01
-8.800000000000000313e-04,-5.930742571508184149e-09,1.488934119939343825e-01
-8.779999999999999827e-04,-5.923455114677583597e-09,8.598981980144800724e-03
-8.760000000000000425e-04,-5.928077543461856192e-09,6.553095500676429930e-02
